targetB,Brand_name
ENSG00000168036,Rubraca
ENSG00000198900,Rubraca
ENSG00000245848,Rubraca
ENSG00000286522,Rubraca
ENSG00000082805,Lynparza
ENSG00000091831,Lynparza
ENSG00000100030,Lynparza
ENSG00000148737,Lynparza
ENSG00000154767,Lynparza
ENSG00000156052,Lynparza
ENSG00000157554,Lynparza
ENSG00000164305,Lynparza
ENSG00000165392,Lynparza
ENSG00000168036,Lynparza
ENSG00000198900,Lynparza
ENSG00000245848,Lynparza
ENSG00000286522,Lynparza
ENSG00000096384,Fluoroestradiol F-18
ENSG00000108953,Fluoroestradiol F-18
ENSG00000110367,Fluoroestradiol F-18
ENSG00000118515,Fluoroestradiol F-18
ENSG00000142208,Fluoroestradiol F-18
ENSG00000146648,Fluoroestradiol F-18
ENSG00000153944,Fluoroestradiol F-18
ENSG00000197122,Fluoroestradiol F-18
ENSG00000204843,Fluoroestradiol F-18
ENSG00000072062,Tibsovo
ENSG00000163513,Tibsovo
ENSG00000179218,Tibsovo
ENSG00000007312,Polivy
ENSG00000065361,Polivy
ENSG00000080824,Polivy
ENSG00000083799,Polivy
ENSG00000091831,Polivy
ENSG00000126934,Polivy
ENSG00000130779,Polivy
ENSG00000133124,Polivy
ENSG00000136997,Polivy
ENSG00000146648,Polivy
ENSG00000177606,Polivy
ENSG00000179218,Polivy
ENSG00000037280,Lenvima
ENSG00000096384,Lenvima
ENSG00000110395,Lenvima
ENSG00000111679,Lenvima
ENSG00000128052,Lenvima
ENSG00000145675,Lenvima
ENSG00000197122,Lenvima
ENSG00000039068,Nerlynx
ENSG00000044115,Nerlynx
ENSG00000065361,Nerlynx
ENSG00000072274,Nerlynx
ENSG00000080824,Nerlynx
ENSG00000081237,Nerlynx
ENSG00000082898,Nerlynx
ENSG00000085832,Nerlynx
ENSG00000091831,Nerlynx
ENSG00000092820,Nerlynx
ENSG00000096384,Nerlynx
ENSG00000096968,Nerlynx
ENSG00000097007,Nerlynx
ENSG00000101213,Nerlynx
ENSG00000105976,Nerlynx
ENSG00000110395,Nerlynx
ENSG00000111252,Nerlynx
ENSG00000113263,Nerlynx
ENSG00000123983,Nerlynx
ENSG00000124181,Nerlynx
ENSG00000127329,Nerlynx
ENSG00000132155,Nerlynx
ENSG00000134853,Nerlynx
ENSG00000135605,Nerlynx
ENSG00000137193,Nerlynx
ENSG00000138363,Nerlynx
ENSG00000138698,Nerlynx
ENSG00000141736,Nerlynx
ENSG00000141968,Nerlynx
ENSG00000142208,Nerlynx
ENSG00000143294,Nerlynx
ENSG00000143322,Nerlynx
ENSG00000144554,Nerlynx
ENSG00000145675,Nerlynx
ENSG00000146648,Nerlynx
ENSG00000152894,Nerlynx
ENSG00000153201,Nerlynx
ENSG00000153707,Nerlynx
ENSG00000157168,Nerlynx
ENSG00000162434,Nerlynx
ENSG00000163399,Nerlynx
ENSG00000165025,Nerlynx
ENSG00000165731,Nerlynx
ENSG00000168036,Nerlynx
ENSG00000168610,Nerlynx
ENSG00000178568,Nerlynx
ENSG00000179295,Nerlynx
ENSG00000197122,Nerlynx
ENSG00000198561,Nerlynx
ENSG00000254087,Nerlynx
ENSG00000096384,Lorbrena
ENSG00000107882,Lorbrena
ENSG00000127329,Lorbrena
ENSG00000072062,Ninlaro
ENSG00000073584,Ninlaro
ENSG00000076242,Ninlaro
ENSG00000084676,Ninlaro
ENSG00000089280,Ninlaro
ENSG00000091831,Ninlaro
ENSG00000099956,Ninlaro
ENSG00000100644,Ninlaro
ENSG00000113916,Ninlaro
ENSG00000124762,Ninlaro
ENSG00000135363,Ninlaro
ENSG00000136936,Ninlaro
ENSG00000139618,Ninlaro
ENSG00000139687,Ninlaro
ENSG00000140262,Ninlaro
ENSG00000141985,Ninlaro
ENSG00000146648,Ninlaro
ENSG00000161405,Ninlaro
ENSG00000163161,Ninlaro
ENSG00000163513,Ninlaro
ENSG00000171723,Ninlaro
ENSG00000179218,Ninlaro
ENSG00000179348,Ninlaro
ENSG00000185811,Ninlaro
ENSG00000186575,Ninlaro
ENSG00000204713,Ninlaro
ENSG00000204843,Ninlaro
ENSG00000105568,Gavreto
ENSG00000108091,Gavreto
ENSG00000109670,Gavreto
ENSG00000110395,Gavreto
ENSG00000124181,Gavreto
ENSG00000160867,Gavreto
ENSG00000164305,Gavreto
ENSG00000168610,Gavreto
ENSG00000170759,Gavreto
ENSG00000037280,Fotivda
ENSG00000081237,Fotivda
ENSG00000096384,Fotivda
ENSG00000097007,Fotivda
ENSG00000100311,Fotivda
ENSG00000101213,Fotivda
ENSG00000110395,Fotivda
ENSG00000111252,Fotivda
ENSG00000111679,Fotivda
ENSG00000124181,Fotivda
ENSG00000127329,Fotivda
ENSG00000128052,Fotivda
ENSG00000134853,Fotivda
ENSG00000135605,Fotivda
ENSG00000143322,Fotivda
ENSG00000145675,Fotivda
ENSG00000152894,Fotivda
ENSG00000165025,Fotivda
ENSG00000171862,Fotivda
ENSG00000179295,Fotivda
ENSG00000182511,Fotivda
ENSG00000182866,Fotivda
ENSG00000197122,Fotivda
ENSG00000254087,Fotivda
ENSG00000111252,Qinlock
ENSG00000113721,Qinlock
ENSG00000146648,Qinlock
ENSG00000111252,Ayvakit
ENSG00000113721,Ayvakit
ENSG00000146648,Ayvakit
ENSG00000096384,Xospata
ENSG00000097007,Xospata
ENSG00000124181,Xospata
ENSG00000143322,Xospata
ENSG00000145675,Xospata
ENSG00000146648,Xospata
ENSG00000165025,Xospata
ENSG00000179295,Xospata
ENSG00000182866,Xospata
ENSG00000081237,Vitrakvi
ENSG00000096384,Vitrakvi
ENSG00000105976,Vitrakvi
ENSG00000124181,Vitrakvi
ENSG00000127329,Vitrakvi
ENSG00000135333,Vitrakvi
ENSG00000140538,Vitrakvi
ENSG00000145675,Vitrakvi
ENSG00000146648,Vitrakvi
ENSG00000162733,Vitrakvi
ENSG00000198400,Vitrakvi
ENSG00000206503,Vitrakvi
ENSG00000096384,Alecensa
ENSG00000107882,Alecensa
ENSG00000110395,Alecensa
ENSG00000124181,Alecensa
ENSG00000127329,Alecensa
ENSG00000160867,Alecensa
ENSG00000164305,Alecensa
ENSG00000168610,Alecensa
ENSG00000002834,Truseltiq
ENSG00000039068,Truseltiq
